_id,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,security_deposit,cleaning_fee,extra_people,guests_included,amenities_count,administrative_division,region,country,longitude,latitude,annual_availability,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,host_id,host_response_rate,host_total_listings_count,superhost,host_neighbourhood
505456,Apartment,Entire home/apt,Real Bed,1,365,Strict_14,2019-03-11,4,1,2,177,1,601.25,625.0,197.5,-56,2,31,Sheung Wan,Hong Kong,Hong Kong,114.14835,22.28356,284,10.0,10.0,10.0,10.0,10.0,9.0,93.0,1189239,100.0,1,True,Mid-Levels
5068892,Apartment,Entire home/apt,Real Bed,1,1125,Strict_14,2019-03-08,4,1,2,2,1,70.0,0.0,60.0,15,2,33,Barcelona,Catalonia,Spain,2.15241,41.38763,365,10.0,10.0,10.0,8.0,9.0,9.0,90.0,1447144,56.0,74,False,L'Antiga Esquerra de l'Eixample
507117,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-18,2,1,1,2,2,121.0,0.0,89.0,0,1,15,Istanbul,Istanbul,Turkey,28.99464,41.05794,365,10.0,10.0,10.0,10.0,10.0,10.0,100.0,2499854,0.0,1,False,Şişli
5071941,Bed and breakfast,Private room,Real Bed,1,1125,moderate,2019-03-11,2,1,2,4,1,601.25,0.0,94.0748,0,1,18,Hong Kong,New Territories,Hong Kong,113.99935,22.26925,365,9.0,8.0,10.0,9.0,10.0,9.0,90.0,10981452,100.0,3,False,
5075775,Apartment,Entire home/apt,Real Bed,27,999,Strict_14,2019-03-11,2,0,1,10,1,283.0,625.0,100.0,0,1,14,Hung Hom,Hong Kong,Hong Kong,114.188,22.31132,336,9.0,8.0,9.0,9.0,9.0,8.0,82.0,6389428,85.0,9,False,Tsim Sha Tsui
5080547,Apartment,Entire home/apt,Real Bed,32,180,moderate,2019-03-08,5,1,3,10,1,100.0,150.0,80.0,15,2,47,Barcelona,Catalonia,Spain,2.15114,41.39751,0,9.0,9.0,8.0,8.0,10.0,8.0,84.0,3972936,92.0,28,False,Les Corts (Nabe)
5083829,Apartment,Private room,Real Bed,3,31,moderate,2019-03-11,2,1,1,56,1,23.0,0.0,94.0748,6,1,29,Montréal,Quebec,Canada,-73.57252,45.55383,136,9.0,9.0,10.0,10.0,9.0,10.0,95.0,25409855,80.0,2,True,
5084164,Apartment,Private room,Real Bed,1,1125,flexible,2019-02-11,2,1,1,0,1,298.0,0.0,94.0748,0,1,29,Rio de Janeiro,Rio De Janeiro,Brazil,-43.21860860011489,-22.963689440522636,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26108074,0.0,1,False,
5093778,Apartment,Entire home/apt,Real Bed,2,90,flexible,2019-02-11,4,1,2,1,1,380.0,500.0,150.0,50,2,21,Rio de Janeiro,Rio De Janeiro,Brazil,-43.221427297607,-22.982019663050377,234,10.0,10.0,10.0,10.0,10.0,10.0,100.0,18288365,90.0,1,False,Leblon
510454,Apartment,Entire home/apt,Real Bed,3,14,Strict_14,2019-03-06,2,1,1,2,1,145.0,0.0,80.0,0,1,11,New York,New York,United States,-73.98146,40.73951,0,9.0,8.0,9.0,8.0,9.0,9.0,100.0,2515124,0.0,1,False,Kips Bay
510923,House,Entire home/apt,Real Bed,3,1125,Strict_14,2019-03-08,5,3,4,23,2,140.0,200.0,0.0,10,3,9,Barcelona,Catalonia,Spain,2.18061,41.42255,188,10.0,10.0,10.0,10.0,9.0,9.0,91.0,2517389,100.0,2,False,El Congrés i els Indians
5110775,Apartment,Private room,Real Bed,28,365,moderate,2019-03-11,4,1,3,5,1,487.0,625.0,94.0748,120,4,8,Hong Kong,Hong Kong,Hong Kong,114.16996,22.31637,186,10.0,9.0,10.0,10.0,10.0,9.0,92.0,25669888,100.0,11,False,Mong Kok
5112669,Apartment,Private room,Real Bed,1,1125,flexible,2019-03-08,2,1,2,0,2,30.0,0.0,94.0748,0,1,10,Barcelona,Catalonia,Spain,2.14853,41.38583,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26416393,0.0,1,False,L'Antiga Esquerra de l'Eixample
5114347,Apartment,Private room,Real Bed,2,1125,moderate,2019-03-07,2,1,1,71,1,55.0,0.0,14.0,9,1,22,Brooklyn,New York,United States,-73.93183,40.68699,365,10.0,10.0,10.0,10.0,9.0,10.0,97.0,7823268,0.0,1,True,Bedford-Stuyvesant
5116907,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2019-03-07,2,1,1,15,1,139.0,500.0,70.0,0,1,12,Bondi Beach,New South Wales,Australia,151.27341,-33.89185,0,10.0,10.0,10.0,10.0,9.0,10.0,99.0,26077134,0.0,2,False,
5121635,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-03-08,4,1,1,164,1,75.0,250.0,60.0,15,2,33,Barcelona,Catalonia,Spain,2.17556,41.39651,241,9.0,10.0,10.0,9.0,9.0,9.0,92.0,4006184,98.0,17,False,Dreta de l'Eixample
5122899,Apartment,Private room,Real Bed,7,1125,moderate,2019-03-07,1,1,1,159,1,61.0,0.0,94.0748,0,1,14,New York,New York,United States,-73.95211,40.78744,343,10.0,10.0,10.0,10.0,10.0,9.0,94.0,9059339,100.0,1,False,East Harlem
5127131,Apartment,Entire home/apt,Real Bed,7,70,Strict_14,2019-03-07,2,1,1,15,1,185.0,0.0,75.0,25,2,15,New York,New York,United States,-73.98316,40.72982,98,10.0,9.0,9.0,10.0,10.0,10.0,89.0,1946840,100.0,2,True,East Village
516720,Apartment,Private room,Real Bed,1,1125,moderate,2019-02-18,1,1,1,42,1,58.0,625.0,119.0,0,1,11,Istanbul,Istanbul,Turkey,28.984,41.06262,354,9.0,8.0,10.0,10.0,9.0,10.0,95.0,2544222,0.0,1,False,Şişli
